en	ha
A bedroom.##bed,book,book,book,book,book,book,book,book,book	A ɗaki.
Where is the umbrella?##umbrella,person,person,person,dog,car,person	Ina lemar take?
What is the white vase holding?##vase,dining table,potted plant	Menene acikin tukunya mai launin fari?
What color is the nearest table?##pizza,person,person,person,person,person,person,person,person,person	Mene launin tebur din dake kusa?
Where is the pizza?##pizza,bowl,dining table,bottle,spoon,spoon,cup,cup,pizza	Ina fiza din?
What is sitting on table?##laptop,chair,dining table,keyboard	Menene zaune a kan tebur?
What is the dog on?##motorcycle,dog,dog,cat	Akan me karen yake?
Fence.##person,person,person,tie,person,person,person,person,person,person	Shinge.
Two cows.##cow,cow,cow	Shanu biyu.
Where was this picture taken?##chair,chair,couch,book,remote,dining table,remote,dining table,chair,cup	A ina aka ɗauka wannan hoton?
What is man wearing?##person,tennis racket,sports ball	Me mutumin ke sanye dashi?
Who is flying over the water?##bird,bird,bird	Wake tsallake ruwa?
What is laying next to the remote?##cat,horse,remote,couch	Menene a kwanci kusa da rimot?
No one.##traffic light,person,car,person,car,person,umbrella,car,car	Babu kowa.
Where are the man's hands?##person,person,handbag,bench	Ina hannayen mutumin?
What is the dog sitting on?##dog,truck,car	A kan me karen yake zaune?
8##airplane,person,person,person,person,person,person,person,person	8
What is sitting on bench?##person,teddy bear,teddy bear,tie,teddy bear,teddy bear,bench,potted plant,vase	Me ke zaune kan benci?
What color are the elephants?##elephant,elephant,elephant,elephant,elephant,elephant,elephant,elephant,elephant,elephant	Mene ne launin giwayen?
Why does the baby have snaps on his straps?##person,cell phone,person	Meyasa jaririn yake da maɓalli akan maɗauri?
Baseball glove.##person,person,person,person,person,person,person,person,person,person	Safar hannun basbal.
Where is the bus?##bus,person,bench,person,person,person,person,truck,person,person	Ina bas ɗin?
Red.##dining table,sandwich,sandwich,fork	Ja.
Ice cream.##person,cake,car,dining table,cake,cake,truck,spoon,car,cake	Ice cream.
What color is the cell phone?##keyboard,person,cell phone,keyboard,person,book,tv,person,person,chair	Meye launin wayar sallular?
On a trip to the subway.##person,train,person,cell phone,person,handbag,handbag,suitcase,backpack,backpack	Lokacin ziyarar tashar jirgin ƙasa.
What color are the plant leaves?##person,remote,potted plant,remote,potted plant,chair	Menene launin ganyen bishiyar?
One.##person,person,person,baseball glove,baseball bat	Ɗaya.
Fruits.##apple,apple,orange,orange,orange,apple,orange,apple	ya'yan itatuwa.
In the sky.##airplane	A sama.
People.##person,person,person,person,person,chair,person,person,chair,dining table	Mutane.
Where is the plate?##car,bottle,cup,dining table,car,bowl,car,truck,car,cake	Ina farantin?
What toy is on the white counter?##potted plant,suitcase,cell phone	Wani abun wasa ne akan farin tebur din?
What color is the plate?##bowl,bowl,knife,bowl,sandwich,sandwich,dining table,carrot,dining table	Menene launin farantin?
2##bottle,bottle,toilet,sink,toilet	2
Brown.##horse,kite,kite	Ruwan ƙasa.
What color are the desktops?##person,person,person,remote,person,person,person,person,tv,bottle	Menene launin kwamfutar kan tebur ɗin?
Where is a kite?##kite,person,person,person,person,person,person,person,kite,person	Ina jirgin leda?
What is the girl holding a right hand?##person,person,teddy bear,handbag	Me yarinyar ke riƙe dashi a hannun dama?
What is by the street?##car,traffic light,car,traffic light,car,traffic light,traffic light,potted plant,car,traffic light	Mene a kusa da titi?
Wine.##person,person,person,wine glass,wine glass,person,wine glass,wine glass,person,person	Giya
What shape is the plate?##knife,cup,dining table,sandwich,cup,cup,bottle,fork,cup,fork	Menene siffar farantin?
Why is the bird on the feeder?##bird,bird	Meyasa tsuntsu a kan abin cin abinci?
Side of building.##giraffe,giraffe,giraffe,giraffe,person	Gefen gini.
What are people doing in the background?##person,person,person,person,person,person,person,person,tennis racket,tennis racket	Me mutane sukeyi a kasan bayan?
When was the photo taken?##person,skateboard,horse	A yaushe aka ɗauki hoton?
What is the man holding?##person,person,person,person,handbag,person,handbag,traffic light,person,handbag	Me mutumin yakeyi?
What main color is the rope attached to the boat?##person,boat,person,boat,boat,boat,train,umbrella,bottle	Wane ne ainihi launin igiyar take maƙale da jikin jirgin ruwan?
Away from the hut.##giraffe,bird	Nesa daga bukkar.
Floating toys.##person,fire hydrant,person,person,fire hydrant,person,car,person,backpack,car	Ababen wasa masu tashi.
Concrete wall.##cake,fork,dining table,orange	Bangon kankare.
What is around the baseball field?##person,baseball glove,car,car,car,truck,truck	Menene a kewaye da filin baseball ɗin?
What color is the water?##person,person,bicycle,person,surfboard	Mene launin ruwan?
Green.##person,person,cell phone,person,person,person,person,person,person,person	kore.
A cat.##cat,tv,tv,keyboard,book,book,book,laptop,book,book	Mage.
Where is the arrow?##skis	Ina kibiyar take?
How many people are there?##person,person,person,chair,handbag,chair,cell phone,car	Nawane adadin mutane a gurin?
Walking.##person,person,handbag,bench	Tafiya.
Advertising something.##motorcycle,person,person,person,person,cow,car,person,car,frisbee	Tallan wani abu.
The living room.##remote,couch,person,couch,potted plant,pizza,vase,remote,chair,vase	Ɗakin zama.
In the air.##person,snowboard,bicycle	A iska.
Mustard.##carrot,carrot,hot dog,carrot,sandwich	Mustard
What color are the shirts of the men?##person,person,tennis racket,bench,tennis racket,potted plant,cell phone,potted plant	Wanne launin riga ce a jikin mazen?
What is striped?##zebra,zebra,zebra,zebra,bird,zebra,zebra,zebra,zebra,zebra	Menene mai ratsi?
1##dog,skateboard,chair,bed,couch	1
Skateboarding.##person,person,skateboard,skateboard,car,car,car,car,bench,car	Sulun allo mai taya.
What is the sidewalk and street made of?##bus,bus,bus,car,car,person,car,person,car,person	Da me akayi gefen hanyan da titin?
What color is the man's shirt?##person,person,person,chair,chair,bowl,person,chair,chair,dining table	Mene launin rigar mutumin?
What color is the street?##fire hydrant,car,car,car,traffic light,traffic light,car,car,traffic light,traffic light	Mene launin titin?
Ridges.##dining table,sandwich,banana,banana,bottle	Tudu- tudu.
What color is the ground?##horse,horse,horse,person,horse,umbrella,person,person,person,person	Wanne irin launine a ƙasan?
Person walking.##	Mutum yana tafiya.
What color is the Frisbee?##person,person,person,person,frisbee,person,person,person,person,person	Menene launin frisbee ɗin?
Talking on the phone.##person,cell phone	Magana a wayar hannu.
What kind of appliances are in the picture?##oven,oven,oven,oven,oven	Wasu irin kayan aiki ne a cikin hoton?
What type of animal is shown?##person,person,person,horse,person,person,handbag,bench,bench,person	Wani irin dabba aka nuna?
Clouds.##person,kite,snowboard,skis,skis	Gizagizai.
Daytime.##person,train,person,person,person,person,person,person,person,person	Da rana.
On top of the stop sign.##stop sign	Saman alamar tsayawa.
Green.##person,person,person,baseball glove,baseball bat	Kore.
What color is the sky?##person,person,person,person,person,person,person,traffic light,traffic light,kite	Mene launin sararin samaniya?
What color is the bus?##train,train,car,bus,train,bus,bus,bus,bus	Menene launin bas ɗin?
What color is the grass?##bench,bird	Menene launin ciyawar?
How many objects are on the counter?##bowl,cup,sink,sink	Nawane adadin abubuwan kan kanta?
What Color is the mascot's robe?##person,person,person,person,person,person,person,person,person,person	Menene launin tufar mascot?
Dog.##dog,car	Kare.
What is white and filling the sky?##person,skateboard,person,person,person,person,person,skateboard,person,person	Menene farin daya cika sararin samaniya?
Vending machines.##person,person,train,person,person,suitcase,handbag,suitcase,backpack,person	Injin sayarwa.
What color is the giraffe?##giraffe	Menene launin raƙumin dawa?
White plate.##broccoli,broccoli,carrot,broccoli,donut,carrot,donut,donut,sandwich,carrot	Farin faranti.
Where is this picture taken?##bed,bed	A ina aka ɗauki hoton nan?
Green.##zebra	Koriya.
What is around the man's neck in front?##cow,person,person,person,person,person,person,person,backpack,backpack	Menene a rataye a wuyan mutumin?
One.##wine glass,cup,cup,chair,sandwich,broccoli,broccoli,person,broccoli,pizza	ɗaya.
White and green shirt.##person,tennis racket,sports ball	Fara da Koriya riga.
What color is the cellphone?##person,cell phone	Mene launin jikin wayar salula?
Motorcycle.##motorcycle,dog,dog,cat	Babur.
Where is the meat?##knife,cup,dining table,sandwich,cup,cup,bottle,fork,cup,fork	Ina naman yake?
How many oranges are not in the bowl?##chair,orange,orange,dining table,orange,orange,bowl,orange,chair,orange	Nawane adadin lemun da basa cikin kwanon?
During the daytime.##person,person,person,person,person,handbag,person,person,bus,truck	Lokacin da rana.
4##chair,orange,orange,dining table,orange,orange,bowl,orange,chair,orange	4
What is on the napkin?##fork,wine glass,fork,bowl,dining table,cake,bowl,knife,fork	Menene akan adikon goge bakin?
When was this shot?##airplane,train	Yaushe aka ɗauki wannan?
What color is the chair?##bed,chair,bed,bed,cup,bed,refrigerator	Mene launin kujerar?
What animals are shown?##zebra,zebra	Wani dabba aka nuna?
What is below the clock?##clock,clock,donut,donut	Mene a kasan agogon.
Daytime.##bench,potted plant,potted plant	Da rana.
Snowman.##tie,carrot,potted plant,bird,bird,potted plant,potted plant,person,cake	Mutumin dusar ƙanƙara.
Black.##motorcycle,chair,chair,bed,bowl	Baƙi.
How many bears are there?##bear,bear,boat	Nawane adadin bears a gurin?
Red.##person,chair,person,chair,laptop,chair,dining table,chair,bottle,chair	Ja.
No one.##bed,person,bed,bed	Ba kowa.
Stove an oven.##oven	Abun girki da abun gashi.
Orange.##kite,person,person,kite,person,person,boat,boat,person,person	Ruwan lemo.
Bags.##car,person,person,car,car,car,car,handbag,car,person	Jaka
Zebra.##zebra,zebra	Jakin dawa.
Where is the quilt?##bed,chair,keyboard,tv,cup	Ina bargon yake?
On a road.##car,traffic light,car,traffic light,car,traffic light,traffic light,potted plant,car,traffic light	Akan titi.
What is the woman looking at?##chair,chair,laptop,person,chair,bottle,chair,person,chair,tv	Me matar take kallo.
Jesus.##bench,bench,bench,person,bench,bench,bench,chair,bench,chair	Yesu.
On a path.##person,car,horse,person,car,horse,person,person,car	Akan hanya.
Vegetables.##banana,orange,orange,orange,orange,orange,orange,orange	Kayan itatuwa.
How many windows are there?##spoon,cup,oven,microwave,cup,spoon,sink,spoon	Tagogin nawa ne a nan?
How is the sky?##airplane	Yaya sararin samaniya?
Green.##zebra	Kore.
What is he doing?##person,frisbee	Me yake yi.
When was the man tilting his head?##person,tie,tie,tie	Yaushe mutumin yake karkata kanshi?
How many cows are looking directly at the camera?##cow,cow,cow,cow,cow,cow,cow,cow,cow,cow	Shanu nawa ne suke kallon kamarar kai tsaye?
Silver.##fork,dining table,laptop,dining table,spoon	Azurfa.
What color is the tile floor?##tv,vase,vase,bowl,apple,apple,refrigerator,oven,bowl,oven	Wani launi ne da ƙasan tayel ɗin?
What is in the background?##clock,clock,boat	Menene a bayan?
How many players are holding bats?##person,person,person,person,person,baseball bat,baseball glove,baseball bat,person,baseball bat	Nawane adadin'yan wasa dake riƙe da kulki?
What is the lady doing?##car,person,car,car,handbag,person,person,person,car,person	Me matar ke yi?
Along the trees.##giraffe,bird	Kusa da bishiyoyin.
What is the man doing?##person,skateboard,person	Me mutumin yake yi?
Where are the sheep?##sheep,sheep,sheep,sheep,sheep	Ina tumakin suke?
Black.##horse,person,person,car,traffic light,person,traffic light,car,person,person	Baƙi.
Green.##fire hydrant	Kore.
Why is this person holding a fork?##person,bowl,dining table,bowl,spoon,spoon	Me yasa wannan mutumin ke riƙe da cokali mai yatsu?
When was the photo taken?##surfboard,person	Yaushe aka ɗauki hoton?
Black.##bear	Baƙi.
How many boats are there?##boat,boat,boat,boat,boat,boat,boat,boat,boat,boat	Nawane adadin jiragen ruwa a gurin?
What part of the middle animal is the zebra in the back biting?##zebra,zebra,zebra	Wani ɓangaren dabbar tsakiyan jakin dawan dake baya yake cizo?
Horse.##horse,person	Doki.
What color is the wagon cover?##horse,horse,person,umbrella,umbrella,boat,suitcase	Wani launi ne rumfar keken keken?
What is laying on the floor?##surfboard,surfboard,surfboard,surfboard,surfboard,surfboard,surfboard,surfboard,surfboard,surfboard	Me yake kwance a ƙasa.
Who is wearing glasses?##cat,person,couch,laptop	Waye ke sanye da mugudin ido?
Two.##train,train,car,bus,train,bus,bus,bus,bus	Biyu.
How many laptops are there?##person,laptop,person,laptop,bottle,laptop,keyboard,chair,laptop,tie	Kwamfutar tafi da gidanka guda nawa ce a nan?
Daytime.##person,person,kite,kite	Da rana.
1##bus,person,bench,person,person,suitcase,traffic light,bench,car,person	Ɗaya.
What is large and wooden?##suitcase,bed,suitcase,bed,person	Menene ƙato kuma na itace?
What is in the sky?##person,truck,truck,airplane,airplane,truck,truck,truck	Mene a sararin samaniya?
How many legs does the elephant have?##elephant	Ƙafa nawa giwar take dashi?
During high tide.##person,surfboard	Lokacin yawan igiyar ruwa.
Who is walking on the station?##train,person,person,person,person,person,airplane,person,person	Waye yake tafiya a cikin tashar?
Where is the round white decoration?##clock,clock	Ina farin zagayayye abin adon?
Choppy.##kite,kite,person,person	Mai kaɗawa.
Where are the trees?##sheep,sheep,sheep,sheep,sheep,sheep,sheep,sheep,sheep,sheep	Ina bishiyun?
The dog is white.##dog,sheep	Karen fari ne
What color is the grass?##person,person,baseball bat,person,person	Wani launi ne ciyayin?
Behind the gate.##	Bayan babbar ƙofar.
Standing on three legs.##elephant,elephant	Tana tsaye akan ƙafa uku.
Why was the picture taken?##motorcycle,person,motorcycle,person,person,car,car,person,car	Meyasa aka ɗauki hoton?
How many blue and white players are shown?##person,person,baseball glove,person,baseball glove,person,person,person,chair,person	Yan wasa masu shuɗi da fari nawa aka nuna?
What is on the head of the closest person?##person,person,person,tie,person,person,person,person,person,person	Menene a kan mutumin da yafi kusa?
Frisbee.##person,person,person,person,person,person,person,car,person,person	Firisbi
A train.##train,person,bicycle,bicycle,person,bicycle,bicycle,person,person,person	Jirgin ƙasa.
Orange.##person,bicycle,car,person,car,person,potted plant,person	Ruwan lemo.
Mountain.##surfboard,person	Dutse.
What is the net made of?##person,person,tennis racket,sports ball,person,person,person,person,person,person	Da me akai ragar?
How many different kinds of animals are in the photo?##cat,cat,cat,cat	Nawane adadin dabbobi iri daban-daban a cikin hoton?
4##cow,cow,cow	Hudu.
Who is wearing a blue helmet?##person,person,person,baseball bat,baseball glove	Waye ke sanye da shuɗiyar hular kwano
What is the chopping block made of?##person,pizza,oven,knife,person,knife,knife,bottle,knife,bottle	Dame akayi katakon yanke-yanke?
Hardwood floors.##couch,vase,vase,book,book,book,book,book,book,dining table	Itace mai ƙarfi.
On the grass.##giraffe,giraffe,person,person	Kana ciyarwa.
What is on the man's face?##person,tie,car,car,truck,car,cell phone,person	Menene a fuskar mutumin?
A bench.##person,person,person,book,tie,bench,bench,tie,backpack,remote	Benci.
What else are in the photo?##zebra,cow,cow	Sai kuma me ajikin hoton?
How big is this bed?##bed,wine glass,dog	Yaya girman wannan gadon?
Duck.##bird,clock,cup,remote,vase,person,baseball bat,cell phone,truck,potted plant	Agwagwa.
What is on the croissants?##apple,sandwich,apple,apple,sandwich,apple,sandwich,apple,apple,apple	Menene a kan croissants ɗin?
What animals are in the picture?##elephant,elephant,elephant,bird,bird,elephant	Wanne dabbobi ne a hoton?
Daytime.##person,cup,cup,cup,bowl,dining table,cup,bowl,cup,knife	Da rana.
Who is playing the game?##person,frisbee,person	Waye yake yin wasan?
In the table.##person,cup,cup,cup,bowl,dining table,cup,bowl,cup,knife	Akan tebur.
What color is the cat?##cat,banana,bed	Menene launin magen?
Hat.##bus,person,bench,person,person,person,person,truck,person,person	Hula.
Daytime.##person,person,dining table,clock,keyboard,bottle,backpack,bottle,book,knife	Da rana.
What color is the tennis ball?##person,person,person,tennis racket,clock,sports ball	Menene launin ƙwallon wasan tanis?
Who is in the photo?##person,snowboard,bird	Wanene a hotan?
What is on the tree?##person,skateboard,person	Menene a kan bishiyar?
"Suitcase, clothes and shoes."##suitcase,person,suitcase,bed,person,bed 	"Ƙaramin akwati, kaya da takalma."
Top of sales window.##truck,person,person	Saman tagar tallace-tallace.
Brown.##keyboard,chair,laptop,tv,book,mouse,cup,tv,remote,book	Ruwan ƙasa-ƙasa.
What is on the pillow?##bed,laptop,cell phone,cell phone,book,handbag,book,suitcase,remote,book	Menene a kan matashin kan?
Where are the bananas?##person,banana,banana,baseball glove,banana,banana,banana,banana,banana	Ina ayabar?
Blue.##sheep,sheep,sheep,sheep,sheep,sheep	Shuɗi.
Office.##person,person,person,person,cell phone,person,cup,person,tv,dining table	Ofishi.
What color are the vegetables in the bowl?##knife,bowl,knife,frisbee,bottle,bowl,bowl	Wana irin launin kayan lambu ne a kwanan?
Diamond.##horse,person	Lu`u-lu`u.
Daytime.##airplane	Da rana.
What color is the floor?##person,person,person,sports ball,person,person,person,person,motorcycle,person	Mene launin kasan?
White.##tv,couch,chair,cat,book,book,book,book,book,book	Fari.
How many men are there?##person,person,person,baseball bat,baseball glove	Maza nawa ne a nan.
White and gray.##cat,bottle,cat,refrigerator,book,bottle	Fari da ruwan toka.
Outside by the water.##surfboard,person	A waje kusa da ruwa
Gloves.##person,skis	Safar hannu
Where was this image taken?##person,person,horse	A ina aka dauka wannan hoton?
Steel grate.##bench,umbrella,umbrella,umbrella,umbrella,umbrella,umbrella,umbrella,umbrella,umbrella	Murfin ƙarfe.
A plant in a planter.##vase,vase,vase,potted plant,potted plant,potted plant,potted plant	Shuka a cikin abin yin shuka.
Three.##person,person,bicycle,person,surfboard	Uku. 
Where are the houses at?##person,kite,person,person,boat,person,person,person,person,boat	A ina gidajan suke?
A clock.##clock,clock,bird	Agogo.
Baseball.##person,baseball glove	Basbal.
For a picnic.##person,person,person,person,dog,bottle,teddy bear,dining table,bench,dining table	Suna cin abinci a waje.
What is the pizza for?##pizza,person,knife,pizza	Pizza ɗin na menene?
Where are white keys?##tv,keyboard,tv,chair,tv,remote,chair,remote,mouse,potted plant	Ina farin mukullin?
How many people are on the beach?##boat,dog,boat,boat,person,person,boat,boat,boat,boat	Mutane nawane a bakin ruwan?
Grass.##kite,kite,person,person,truck,person,person,person,person,person	Ciyawa.
Blue.##motorcycle,motorcycle,person	Shuɗi.
Parked on the side of the street.##bus,person,train,bicycle,person,bench,person	Ajjiye a gefen titi.
Where is the toilet paper?##sink,sink,cup,cup,cup,cup	Ina takardar bayan gida?
Who has four legs?##giraffe,giraffe,person,person	Waye ke da ƙafa hudu?
Daytime.##car,car,car,car,car,car,car,car,car,car	Da rana.
What number of men are eating?##person,person,person,pizza,pizza,cell phone,bottle,pizza,bottle,cup	Mutane nawa ke cin abinci?
Where are shadows?##person,person,person,suitcase,suitcase,person,traffic light,person,surfboard,person	Ina inuwa?
What foods are in the basket?##banana,orange,orange,orange,orange,orange,orange,orange	Wanne abinci ne a kwandon?
What type of basket are the vegetables in?##banana,orange,orange,orange,orange,orange,orange,orange	A cikin wani irin kwando kayan itacen suke?
What has been knotted?##person,tie	Menene a ɗaure?
What color is the baby's wearing?##person,person,pizza,dining table,bottle,wine glass,cup	Menene launin da jaririn yake sanye da shi?
Wood.##bench,cow	Katako.
Red and blue.##train	Ja da shuɗi.
Head of bed.##bed,remote,cell phone,remote	Fuskar Gabon.
Where is the sauce?##cup,dining table,orange,bowl,sandwich,sandwich,cell phone,spoon,cup	Ina miyar take?
Where is the kitten?##cat,keyboard,keyboard,keyboard,laptop,keyboard	Ina kyanwar take?
What color is the sink?##sink,cat,potted plant,cup,bottle,potted plant,potted plant,cup,sink,cup	Wanne launi ne abun wanke hannu ɗin?
What are the zebras doing in the photo?##zebra,zebra,zebra,zebra,zebra	Me jakunan dawan sukeyi a hoton?
Roman numerals.##clock,clock,clock	Roman numbers.
Who is flying the plane?##airplane,bench,tennis racket	Wa yake tuƙa jirgin sama?
White and blue.##airplane,airplane,truck,truck,truck	Fari da shuɗi.
What is red and yellow the streak on the road?##traffic light,car	Menene ja da rawayan layi a akan titi?
After it moves past the crosswalk.##person,traffic light,car,car,traffic light,person,traffic light,car,person,car	Bayan ta wuce wurin tafiyar.
Zoo.##elephant,person,elephant,person,person,person,elephant,person,person,person	Gidan dabbobi.
A hat.##person,motorcycle,truck	Hula
Two.##person,traffic light,traffic light,motorcycle,person,person,truck,person,car,person	Biyu.
How is the animal holding the carrot?##giraffe,carrot,person,giraffe,carrot,giraffe,person	Ya dabba take riƙe karas?
What is the main color of the bowl?##vase,vase,bowl,bowl,vase,sports ball,bottle,bottle,vase,potted plant	Menene ainahin launin kwanon?
An egg.##fork,dining table,laptop,dining table,spoon	Kwai
Brown.##sink	Ruwan ƙasa?
How are the blankets positioned?##horse,horse,backpack	Yaya abun rufar yake ajiye?
At a park.##person,skateboard,person	A wurin wasa.
One.##person,person,person,remote,person,person,person,person,tv,bottle	Ɗaya.
How many black horse tails are shown?##horse,person,person,person,horse,person	Nawa ne adadin jelar baƙin doki da aka nuna?
Green.##sheep,sheep,sheep,sheep	Kore.
Stripes.##tie,knife,person	Ratsi.
Next to the tablet.##keyboard,person,cell phone,keyboard,person,book,tv,person,person,chair	Kusa da tablet.
White.##bed,bed,cup,chair,bottle,chair,bottle,cup,cup,bottle	Fari.
Who is shadow of?##person,baseball glove,sports ball,person,baseball bat,person,person,person	Inuwar wanene?
What shape is the inflatable?##person,fire hydrant,person,person,fire hydrant,person,car,person,backpack,car	Menene siffar abinda aka huramai iska?
Ducks.##bird,person,bird,bird,bird,bird,bird,bird,bird,bird	Agwagi.
Above the woman's head.##umbrella,person,person,person,dog,car,person	A saman kan matar.
Where is the the surfer?##person,surfboard	A ina mai hawan igiyar ruwan yake?
Yellow.##person,person,surfboard,person,person	Rawaya.
Where is the horse?##horse	Ina dokin?
Phone.##cell phone,person,person,person	Waya.
What is in the man's hand?##person,skateboard	Menene a hannun mutumin?
What kind of floor is in the picture?##cat,bowl,bowl,bowl,bowl,dining table,bowl,chair	Wanne irin daɓe ƙasa ne a hoton?
Black.##cat,bed	Baƙi.
It is resting.##giraffe	Yana hutawa.
On the runway.##airplane,person,person,person,person,person,person,person,person	Yana kan titin jirgin saman.
Pond.##cow,cow,cow	Kududdufi.
Bricks.##clock,clock,bird,kite,bird,bird,bird,kite,bird,bird	Jan bulo.
Fall.##person,skateboard	Kaka.
How many bikes are outside the store?##bicycle,bicycle,handbag,refrigerator,book,book	Kekuna nawane awajan shagon?
Who has their hand up?##person,cup,cup,person,bottle,bench,bowl,dining table,bottle,dining table	Waye ya daga hannun sa sama?
What is the steam color?##train,person,person,person,traffic light,person	Menene launin tiririn?
Where is she at?##person,person,tennis racket,sports ball,sports ball,person,person,tennis racket,bench,bench	Ta ina take?
Behind the man in yellow.##person,person,person,tennis racket,tennis racket,person,chair,chair,chair,chair	Bayan mutumin me rawaya.
Against a wall.##clock	A kusa da bangon.
What is the main color of the curtain?##vase,vase,bowl,bowl,vase,sports ball,bottle,bottle,vase,potted plant	Menene Ainahin launin labulen?
White.##person,tennis racket,person,person,person	Fari.
What color is the writing on the cup?##laptop,cup,tv	Wani launi ne rubutun jikin kofin?
What color is the sky?##bus,person,person,truck	Mene launin sararin samaniya?
Grey.##stop sign,fire hydrant,car	Ruwan toka.
Standing.##giraffe,giraffe	Tsayuwa.
At a bedroom.##bed,bed	A ɗakin kwana.
Where is the cat?##cat,dining table,cake	Ina magen?
Wood and rod-iron.##bench	Katako da sandan baƙin qarfe
What is the man doing?##person,skis	Me mutumin yake yi?
Garlic bread.##cup,bottle,person,dining table,bowl,cup,chair,cup,spoon,spoon	Biredin tafarnuwa.
The dog.##motorcycle,person,person,person,dog,person,car,person,car,car	Kare.
People.##person,person,person,person,person,skis,person,person,skis,person	Mutane.
How many bowls are on the table?##bowl,person,bowl,chair,chair,dining table,spoon,carrot,carrot,broccoli	Nawa ne adadin kwanuka a kan tebur ɗin?
No one.##cat,chair,bird,bird,tv,cell phone,mouse,cell phone	Ba kowa.
White.##airplane,person,car,car,person,truck,cell phone,car,person,car	fari.
Curtains.##cat,bird	Labule.
8##pizza,person,pizza,pizza,pizza,pizza,pizza,dining table,pizza,pizza	8
With bent legs.##person,person,baseball bat	Da lankwashashshiyar ƙafa.
A mouse.##person,chair,donut,cell phone,mouse,donut,donut,dining table,chair,donut	Na'urar Mouse.
What is the batter doing?##person,person,person,person,baseball bat,sports ball,baseball glove,handbag,baseball glove	Me katakon yake yi?
What is the woman wearing on the head?##suitcase,person,teddy bear	Me matar ke sanye dashi a kanta?
A wristband.##person,tennis racket,tennis racket,tennis racket,sports ball	Bandajin wuyan hannu.
What color is the wall behind the woman?##person,cell phone	Menene launin bangon bayan matar?
Where is the dog looking?##dog	Ina karen yake kallo?
Daytime.##dog,car,bench	Da rana.
Where was the cows photographed?##dog,sheep,cow,cow,cow,cow,cow,cow,cow,cow	A ina aka dauki hoton shanun?
How many benches in front of the water?##person,bench,bicycle,person,train,bench,bicycle,person,boat	Kujeru nawa ne a gaban ruwan?
What are the horses doing?##horse,horse,horse,person,horse,umbrella,person,person,person,person	Me dawakan suke yi?
During the day.##person,horse,person,bicycle	Da rana.
The man on the left.##person,person,person,cell phone,person,skis,bottle,person,cell phone,person	Mutumin dake gefen hagu.
Who is holding a shoulder bag?##elephant,elephant,elephant,person,elephant,handbag,person,elephant	Wake riƙe da jakar hannu?
What is in the picture?##refrigerator,suitcase,bottle,bottle,clock,oven,bottle,oven,clock,cup	Menene a jikin hoton?
What moving object is on the tracks?##train,person,person	Wani abu ne me tafiya yake kan titin jirjin ƙasan?
When was the photo taken?##person,skis	Yaushe aka ɗauki hoton?
What is the weather?##bear,person	Ya yanayi yake?
On the road.##bench,sports ball	Akan titin.
How many people are in the picture?##person,toilet,backpack	Mutane nawane a cikin hoton?
Twins.##person,person,person,person,person,baseball bat,baseball glove,baseball bat,person,baseball bat	Twins.
What color is the grass?##horse	Menene launin ciyawar?
What color is the building?##	Wanne launi ne jikin gini?
Where is the clock?##clock,car,clock	Ina agogon?
Who is pictured?##person,apple,person	Wa aka nuna?
Sunny.##person,surfboard	Mai rana.
Trying to hit the tennis ball.##person,sports ball,tennis racket,tennis racket	Ƙoƙarin dukan ƙwallon tanis.
To stir occasionally.##bowl,carrot,spoon,oven,carrot,carrot,carrot,carrot,spoon,carrot	Saboda yawan juyawa.
How many bald adults are there?##person,person,person,person,person,person,person,person,person,person	Maza nawa ne marassa gashi a wajan?
Where is the skier?##person,skis,kite	Ina mai wasan hawa ƙanƙara?
What is growing in this tree?##banana	Me yake girma akan bishiya?
White.##person,person,person,person,truck,person,person,person,airplane,person	Fari.
What is the standing man doing?##person,person,baseball bat,sports ball,person,person,person,baseball bat,person,person	Me mutumin dake tsaye yakeyi?
When was this photo taken?##zebra,zebra	Da yaushe aka ɗauki wannan hoton?
Orange.##teddy bear	Ruwan lemo.
A book.##book,person,person,person,person,couch,bed	Littafi.
3##bus,bus,bus,person,person,person,person,person,person,person	3
Wood.##person,cow,person,stop sign,car,car,car	Da katako.
What is small brown and white?##mouse,dog,chair,potted plant,dining table	Mene ne karami ruwan ƙasa kuma fari?
What is the front end?##airplane,airplane	Menene ƙarshen gaban?
Near the wooden fence.##fire hydrant	Kusa da shingen katako.
1##cat,bed,bed,teddy bear,umbrella	1
At the beach.##person,surfboard,person	A gabar teku.
Right side of the tomatoes.##orange,broccoli,orange,apple,orange,orange,potted plant,apple,apple,carrot	Yana daga damar tumatirin.
At a train station.##train,person,person,person,person,person,backpack,person	A tashar jirgin ƙasa.
What is the microwave on?##refrigerator,microwave,sink,cat,chair,suitcase,bottle,umbrella,bottle	A kan me na'urar ɗumame ta ke?
Clouds.##train	Hadari.
Where are the cut vegetables sitting?##hot dog,apple,dining table,hot dog,cell phone,apple,apple,knife	Ina yankakkun kayan lambu suke?
A man.##person,bed	Mutumin.
What is in the far left on the scene?##car,toilet,truck	Menene daga can hagun hurin?
Who is this a picture of?##person,person,kite,kite	Wannan hoton waye?
What is green?##cup,bottle,person,cup,bottle,person,cup,wine glass,dining table,bottle	Menene kore?
What color is the couch?##chair,chair,couch,book,remote,dining table,remote,dining table,chair,cup	Menene launin kujerar?
A bear.##bear	Bear.
The comforter.##bed,chair,keyboard,tv,cup	bargo.
